Movie,Review,Predicted_Sentiment,Rating
Casablanca,"a masterpiece with deep emotional impact could have been shorter; felt unnecessarily long good cinematography, though the plot could be tighter interesting concept but not for everyone",Neutral,3
Citizen Kane,brilliant storytelling and pacing the pacing was off and some scenes dragged a decent film with room for improvement some parts felt a bit slow but still enjoyable,Neutral,3
Gone with the Wind,"incredible soundtrack and immersive atmosphere could have been shorter; felt unnecessarily long a decent film with room for improvement good cinematography, though the plot could be tighter",Neutral,3
Psycho,absolutely stunning visuals and direction predictable storyline and weak dialogue a decent film with room for improvement brilliant storytelling and pacing,Neutral,3
Vertigo,"brilliant storytelling and pacing predictable storyline and weak dialogue good cinematography, though the plot could be tighter could have been shorter; felt unnecessarily long",Neutral,3
Rear Window,"absolutely stunning visuals and direction predictable storyline and weak dialogue some parts felt a bit slow but still enjoyable good cinematography, though the plot could be tighter",Negative,1
Sunset Boulevard,the acting was phenomenal throughout predictable storyline and weak dialogue a decent film with room for improvement brilliant storytelling and pacing,Neutral,3
12 Angry Men,absolutely stunning visuals and direction underdeveloped characters made it less engaging had its moments but lacked consistency a decent film with room for improvement,Neutral,3
On the Waterfront,"a masterpiece with deep emotional impact predictable storyline and weak dialogue a decent film with room for improvement good cinematography, though the plot could be tighter",Neutral,3
Lawrence of Arabia,incredible soundtrack and immersive atmosphere the pacing was off and some scenes dragged a decent film with room for improvement could have been shorter; felt unnecessarily long,Neutral,3
Ben-Hur,incredible soundtrack and immersive atmosphere the pacing was off and some scenes dragged interesting concept but not for everyone could have been shorter; felt unnecessarily long,Neutral,3
Singin' in the Rain,the acting was phenomenal throughout could have been shorter; felt unnecessarily long had its moments but lacked consistency some parts felt a bit slow but still enjoyable,Neutral,3
The Sound of Music,"brilliant storytelling and pacing overly complex at times, hard to follow had its moments but lacked consistency interesting concept but not for everyone",Neutral,3
Dr. Strangelove,"the acting was phenomenal throughout underdeveloped characters made it less engaging a decent film with room for improvement good cinematography, though the plot could be tighter",Neutral,3
To Kill a Mockingbird,absolutely stunning visuals and direction the pacing was off and some scenes dragged interesting concept but not for everyone the acting was phenomenal throughout,Positive,5
The Bridge on the River Kwai,"brilliant storytelling and pacing the pacing was off and some scenes dragged good cinematography, though the plot could be tighter some parts felt a bit slow but still enjoyable",Neutral,3
Chinatown,"absolutely stunning visuals and direction overly complex at times, hard to follow interesting concept but not for everyone had its moments but lacked consistency",Neutral,3
The Apartment,"incredible soundtrack and immersive atmosphere underdeveloped characters made it less engaging had its moments but lacked consistency overly complex at times, hard to follow",Neutral,3
One Flew Over the Cuckoo's Nest,incredible soundtrack and immersive atmosphere the pacing was off and some scenes dragged interesting concept but not for everyone brilliant storytelling and pacing,Neutral,3
Taxi Driver,the acting was phenomenal throughout underdeveloped characters made it less engaging interesting concept but not for everyone a masterpiece with deep emotional impact,Positive,4
Rocky,a masterpiece with deep emotional impact could have been shorter; felt unnecessarily long had its moments but lacked consistency interesting concept but not for everyone,Neutral,3
Jaws,"a masterpiece with deep emotional impact overly complex at times, hard to follow good cinematography, though the plot could be tighter underdeveloped characters made it less engaging",Neutral,3
Star Wars: A New Hope,"the acting was phenomenal throughout overly complex at times, hard to follow a decent film with room for improvement the pacing was off and some scenes dragged",Neutral,3
Close Encounters of the Third Kind,brilliant storytelling and pacing the pacing was off and some scenes dragged a decent film with room for improvement a decent film with room for improvement,Neutral,3
